source_question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation_a,explanation_b,explanation_c,explanation_d,source_file,topic
11,"In Looker, what is the fundamental purpose of an ""Explore""?",It is the administrative console used to manage IAM permissions.,"It is a starting point for business users to query and visualize data, defined by LookML models.",It is the automated pipeline that extracts data from Cloud Storage into BigQuery.,It is a Machine Learning algorithm used for forecasting.,B,"is incorrect because Explores handle data querying and visualization, not identity and access management administration.","is correct because an Explore in Looker is the central interface where business users interact with data. It is constructed using LookML to represent a specific business concept (like ""E-commerce Orders"") and serves as the canvas for selecting dimensions and measures to build charts.","is incorrect because Looker does not extract or move data; it queries data where it lives (e.g., in BigQuery).","is incorrect because Explores are a BI interface feature, not an ML algorithm.",Data_analysis.docx,Data_analysis
12,An analyst accidentally executed a DROP TABLE command on a critical BigQuery table three days ago. They did not take any manual backups or snapshots. How can you restore the table?,Use the BigQuery Data Transfer Service to reverse the command.,Use BigQuery Time Travel to restore the table using a snapshot decorator or FOR SYSTEM_TIME AS OF.,The data is permanently lost and cannot be recovered.,Create a support ticket to access Google's internal tape backups.,B,is incorrect because the Data Transfer Service automates ingestion from external sources; it cannot reverse SQL commands or restore deleted tables.,"is correct because BigQuery automatically enables Time Travel, which retains a continuous history of changes to tables for a default of 7 days. You can easily restore the deleted table by querying or copying it from a point in time just before the deletion occurred.",is incorrect because BigQuery Time Travel explicitly protects against accidental deletions for up to 7 days.,is incorrect because contacting support is unnecessary; Time Travel is a self-service feature available to practitioners.,Data_analysis.docx,Data_analysis
13,"You want to share specific rows of a BigQuery table with a partner organization (e.g., only data where country = 'UK'). You do not want the partner to have access to the underlying base table, and you want to manage this using standard SQL logic. What is the recommended approach?",Create an Authorized View containing the filtering logic and grant the partner access to the view.,Grant the partner the roles/bigquery.dataViewer IAM role on the entire dataset.,Export the data to Cloud Storage and email them a signed URL.,Use BigQuery Data Transfer Service to push the data to their database.,A,"is correct because an Authorized View allows you to share query results with specified users or groups without giving them read access to the underlying tables. The view contains the SQL filter (WHERE country = 'UK'), ensuring secure, restricted data sharing.","is incorrect because granting dataViewer on the dataset would give the partner access to the entire base table, violating the requirement to restrict access.",is incorrect because exporting breaks the live analytical connection and forces reliance on static files.,is incorrect because DTS pulls data into BigQuery; it is not the standard method for securely sharing real-time views of data with partners.,Data_analysis.docx,Data_analysis
14,"A massive BigQuery table contains highly sensitive Personally Identifiable Information (PII), specifically Social Security Numbers, in a single column named ssn. You need to ensure data analysts can query the table for aggregate metrics but are completely blocked from viewing the data in the ssn column. What should you configure?",Row-level security.,BigQuery Policy Tags (Column-level security).,Identity-Aware Proxy (IAP).,A Dataproc proxy server.,B,"is incorrect because row-level security filters entire records (rows) based on user attributes, whereas the requirement is to hide a specific field (column) across all rows.","is correct because BigQuery Policy Tags provide fine-grained column-level security. By applying a policy tag to the ssn column, you can restrict access so that only authorized principals (like HR or compliance) can view the plaintext data, while analysts see access denied or masked data for that specific column.","is incorrect because IAP controls access to web applications, not column-level data access within a BigQuery database.",is incorrect because setting up a Hadoop proxy server is an overly complex anti-pattern when native BigQuery security features exist.,Data_analysis.docx,Data_analysis
15,"You are evaluating a logistic regression model you just trained in BigQuery ML to ensure it accurately predicts customer churn. Which BigQuery ML SQL function is used to generate performance metrics like precision, recall, and ROC AUC?",ML.TRAIN,ML.PREDICT,ML.EVALUATE,ML.FEATURE_INFO,C,is incorrect because ML.TRAIN is not a valid BQML function; models are trained using the CREATE MODEL statement.,"is incorrect because ML.PREDICT is used to perform inference (generating predictions on new data), not to evaluate the model's accuracy metrics.","is correct because the ML.EVALUATE function is specifically designed to evaluate the performance of a trained model against a dataset, returning standard machine learning metrics (like precision and recall for classification models).","is incorrect because ML.FEATURE_INFO returns statistics about the input features used during training, not the performance evaluation of the model itself.",Data_analysis.docx,Data_analysis
16,"You are tasked with writing a BigQuery SQL query to calculate a running total of monthly sales. The calculation needs to aggregate the sales amount cumulatively row-by-row, partitioned by product category and ordered by the date. What type of SQL function must you use?",A standard GROUP BY aggregation.,A Window Function using the OVER() clause.,A JSON extraction function.,APPROX_QUANTILES,B,"is incorrect because a standard GROUP BY collapses all rows into a single aggregated sum per category, destroying the row-by-row chronological running total.",is correct because calculating a running (cumulative) total requires a Window Function. The OVER(PARTITION BY category ORDER BY date) clause allows you to compute the SUM(sales) across a set of rows related to the current row without grouping the output into a single summary row.,is incorrect because JSON extraction parses text strings; it does not perform mathematical aggregations.,"is incorrect because APPROX_QUANTILES calculates approximate boundaries for data distributions, not running totals.",Data_analysis.docx,Data_analysis
17,"Your company relies on Looker dashboards that query a multi-terabyte BigQuery table. Users are complaining that the dashboards take 15 seconds to load, which is unacceptable for live presentations. To achieve sub-second dashboard response times without changing the LookML logic, what feature should you enable?",Dataproc Autotuning,BigQuery BI Engine,Cloud Storage Nearline,Vertex AI Model Registry,B,"is incorrect because Dataproc manages Hadoop clusters, which are not used to accelerate Looker/BigQuery dashboard connections.","is correct because BigQuery BI Engine is a fast, in-memory analysis service built into BigQuery. It intelligently caches frequently accessed data, enabling sub-second query response times for connected BI platforms like Looker, accelerating dashboard performance natively.","is incorrect because Cloud Storage Nearline is a cold storage class for backups, which would drastically slow down data access, not speed it up.","is incorrect because the Model Registry stores machine learning models, not cached SQL query results for dashboard acceleration.",Data_analysis.docx,Data_analysis
18,"You have an unpartitioned BigQuery table containing 10 terabytes of log data. You frequently run a query that filters the data on the status column (e.g., WHERE status = 'ERROR'), but you notice the query scans the entire 10 TB every time. The status column only has 5 unique values (INFO, WARN, ERROR, DEBUG, CRITICAL). What is the best optimization strategy?",Partition the table on the status column.,Cluster the table on the status column.,Export the data to Cloud Storage and use gsutil.,Use Cloud SQL instead of BigQuery.,B,"is incorrect because partitioning is strictly limited to DATE, TIMESTAMP, DATETIME, or integer ranges. You cannot partition on a string column like status.","is correct because Clustering organizes the physical storage of data based on the values of the clustered column. When you query with a filter like status = 'ERROR', BigQuery uses the cluster blocks to skip irrelevant data, improving performance and potentially reducing costs.",is incorrect because exporting 10 TB of data to flat files for querying destroys analytical performance.,"is incorrect because Cloud SQL is a transactional relational database, not an analytical data warehouse built to scan 10 TB of log data.",Data_analysis.docx,Data_analysis
19,"Your data science team uses Vertex AI Workbench to train ML models. They are spending hours writing duplicate code to clean and engineer the exact same data features (e.g., ""customer_lifetime_value"", ""days_since_last_purchase"") across different notebooks. What GCP service should they use to centralize, share, and reuse these engineered features?",Cloud Key Management Service (KMS),Cloud Spanner,Vertex AI Feature Store,Looker Studio,C,"is incorrect because Cloud KMS manages cryptographic keys, not machine learning data features.","is incorrect because Cloud Spanner is a transactional database, lacking the specialized ML metadata tracking and serving architecture of a Feature Store.","is correct because Vertex AI Feature Store provides a centralized repository for organizing, storing, and serving engineered machine learning features. This allows different data scientists to discover and reuse existing features, eliminating duplicate code and ensuring consistency across models.","is incorrect because Looker Studio is a reporting and dashboarding tool, not an ML feature repository.",Data_analysis.docx,Data_analysis
20,"Your company has transitioned from a fixed-capacity BigQuery pricing model to On-Demand pricing. Under the On-Demand pricing model, what primary metric determines the cost of executing an analytical query?",The number of rows returned by the query.,The total bytes of data processed (read) by the query.,The amount of time the query takes to execute.,The number of users accessing the Looker dashboard.,B,"is incorrect because you are charged for the data scanned to compute the result, not the size of the final output returned.",is correct because BigQuery's On-Demand pricing model charges you based exclusively on the total number of bytes processed (scanned) by the query. This makes architectural choices like partitioning and selecting specific columns (instead of SELECT *) critical for cost control.,"is incorrect because execution time dictates compute duration, but On-Demand pricing bills on bytes processed, not wall-clock execution time.","is incorrect because user count on a dashboard does not dictate the underlying BigQuery billing metric, though more users might trigger more queries.",Data_analysis.docx,Data_analysis
21,"You are a Data Practitioner reviewing the execution plan of a slow-running BigQuery SQL query. You need to inspect the ""Query Plan"" to identify which specific execution stage (e.g., READ, COMPUTE, WRITE) is taking the most time and consuming the most resources. Where in the Google Cloud Console can you find this detailed stage-by-stage breakdown?",In the Cloud Monitoring Dashboard under VM Instance Metrics.,"In the ""Execution Details"" tab of the BigQuery Query Results panel.",In the IAM & Admin Audit Logs.,In the Dataproc Jobs interface.,B,is incorrect because BigQuery is a serverless platform; you do not monitor underlying VM instance metrics for individual query execution plans.,"is correct because the ""Execution Details"" tab (often referred to as the Query Plan or Execution Graph) directly inside the BigQuery UI provides a visual and tabular breakdown of the query's execution stages, showing timing, bytes shuffled, and compute slot consumption.","is incorrect because Audit Logs track administrative actions and API calls (who ran the query), not the internal, stage-by-stage query performance profile.","is incorrect because Dataproc handles Spark/Hadoop jobs, not native BigQuery SQL query execution graphs.",Data_analysis.docx,Data_analysis
22,"A retail company wants to forecast daily inventory demand for the next 30 days based on the last two years of daily sales data. They want to account for seasonality (e.g., weekend spikes) and holidays. Which BigQuery ML model type should they implement?",ARIMA_PLUS,LOGISTIC_REG,KMEANS,PCA,A,"is correct because ARIMA_PLUS is BigQuery ML's specialized time-series forecasting model. It natively handles anomalies, seasonality, and holiday effects to predict future numerical values based on historical time-based data.","is incorrect because Logistic Regression predicts categorical outcomes (e.g., churn vs. no churn), not continuous future inventory volumes.","is incorrect because K-Means is for unsupervised clustering (grouping similar data points), not forecasting time series.","is incorrect because PCA (Principal Component Analysis) is used for dimensionality reduction, not time-series forecasting.",Data_analysis.docx,Data_analysis
23,You need to calculate the exact distance in meters between a customer's delivery address (latitude/longitude) and the nearest retail store location. Both coordinates are stored in a BigQuery table. Which feature of BigQuery allows you to perform this spatial calculation natively using standard SQL?,BigQuery Machine Learning (BQML),BigQuery GIS (Geographic Information Systems) functions,BigQuery External Tables,BigQuery Data Transfer Service,B,"is incorrect because BQML is used for training predictive models, not calculating mathematical geographic distances.","is correct because BigQuery GIS provides native support for geospatial data types (like GEOGRAPHY) and functions (like ST_DISTANCE). This allows data practitioners to execute complex spatial analytics, such as calculating distance between coordinates, directly using standard SQL.","is incorrect because External Tables allow querying data in Cloud Storage, which is unrelated to spatial coordinate calculations.",is incorrect because Data Transfer Service ingests data; it does not perform mathematical or spatial functions.,Data_analysis.docx,Data_analysis
24,"Your team is building a Looker dashboard that requires combining data from two separate, fundamentally different sources: a BigQuery table containing customer lifetime value and a Google Analytics 4 property showing current website traffic. The combination needs to happen at the visualization layer without altering the underlying database. What feature should you use?",LookML Data Blending in Looker Studio or Looker Explores.,Cloud Composer DAGs.,BigQuery Data Transfer Service.,Vertex AI Workbench.,A,"is correct because Data Blending (in Looker Studio) or Joined Explores (in Looker via LookML) allow you to combine data from different sources directly at the presentation/visualization layer based on a common key, without needing to permanently move or join the data in the underlying warehouse.",is incorrect because Cloud Composer orchestrates backend ETL pipelines; it does not combine data at the frontend visualization layer.,is incorrect because Data Transfer Service moves data into BigQuery; it is not a presentation-layer feature.,"is incorrect because Vertex AI Workbench is a Jupyter notebook environment for data scientists, not a BI dashboarding tool.",Data_analysis.docx,Data_analysis
25,"You have an external data source that provides files in JSON format. You want to query this data in BigQuery but you notice that querying JSON data directly can be slow. To improve query performance for analytics, you decide to define a structured schema. Which data type should you use in BigQuery to handle nested JSON objects natively and efficiently?",STRING,STRUCT (and ARRAY of STRUCTs),FLOAT64,BYTES,B,"is incorrect because storing JSON as a raw STRING requires BigQuery to parse the string on every query using JSON functions, which is significantly slower and more computationally expensive than using native STRUCTs.","is correct because the STRUCT data type (Record) in BigQuery is explicitly designed to represent nested objects (key-value pairs) natively. Combined with ARRAYs (for repeated fields), it provides a highly structured, strongly-typed, and performant way to query complex hierarchical data originally derived from JSON.","is incorrect because FLOAT64 represents numerical data with decimals, not hierarchical objects.","is incorrect because BYTES stores raw binary data, making it completely unreadable by standard analytical SQL queries without complex decoding.",Data_analysis.docx,Data_analysis
26,"Your BigQuery dataset contains a table named sales_data. You need to grant a new data analyst the ability to view the data within the table, run queries against it, but strictly prevent them from altering the schema, deleting the table, or deleting the dataset. Which IAM role should you grant?",roles/bigquery.dataOwner,roles/bigquery.admin,roles/bigquery.dataViewer AND roles/bigquery.jobUser,roles/storage.objectViewer,C,"is incorrect because dataOwner allows the user to delete tables and modify schemas, violating the strict requirements.","is incorrect because admin grants full control over the entire BigQuery service, violating the principle of least privilege.","is correct because roles/bigquery.dataViewer provides read-only access to the data and schema, satisfying the requirement to view data without allowing modifications. Furthermore, to actually execute a query in BigQuery, the user also needs roles/bigquery.jobUser to create the query job within the project.","is incorrect because storage.objectViewer grants read access to Cloud Storage buckets, not BigQuery tables.",Data_analysis.docx,Data_analysis
27,You are executing a complex query in BigQuery that requires applying a highly customized mathematical algorithm to a column. This algorithm cannot be expressed using standard SQL functions. How can you embed this custom logic directly into your BigQuery query execution?,Write a User-Defined Function (UDF) using JavaScript or SQL.,"Export the data to Compute Engine, run a Python script, and load it back.",Trigger a Cloud Run instance from within the SELECT statement.,Use BigQuery Data Transfer Service.,A,"is correct because BigQuery supports User-Defined Functions (UDFs). UDFs allow you to write custom logic in SQL or JavaScript and call that logic as a function directly within your standard SQL queries, enabling complex transformations without moving the data.","is incorrect because exporting data, processing it externally, and loading it back is an incredibly slow, complex, and expensive anti-pattern when UDFs can handle it natively in-place.",is incorrect because you cannot trigger external Cloud Run containers directly from within a BigQuery SELECT execution path for row-by-row processing.,"is incorrect because Data Transfer Service is for automated ingestion, not extending SQL query capabilities.",Data_analysis.docx,Data_analysis
28,"A data analyst needs to interactively explore a massive BigQuery dataset using Pandas and Matplotlib for advanced visualization. They want to avoid managing infrastructure, authenticate securely using their GCP credentials, and ensure the data never leaves the Google Cloud boundary. Which tool is most appropriate?",Download the data to a local laptop and use Anaconda.,Colab Enterprise,Cloud SQL Studio,Looker Explores,B,is incorrect because downloading massive datasets locally is a severe security risk (data exfiltration) and fails the requirement to keep data within the GCP boundary.,"is correct because Colab Enterprise provides a managed, serverless Jupyter notebook environment natively within Google Cloud. It allows analysts to use Python libraries like Pandas and Matplotlib, authenticates seamlessly via IAM, and keeps data securely within the GCP boundary.","is incorrect because Cloud SQL Studio is a visual interface for querying relational databases, not a Python notebook environment for Pandas.","is incorrect because Looker Explores use LookML and SQL for BI visualization, not Python code (Pandas/Matplotlib) for exploratory data science.",Data_analysis.docx,Data_analysis
29,"Your organization requires that any SQL queries executed against a specific BigQuery table containing financial records must be logged for compliance auditing. Specifically, auditors need to see the exact SQL statement text that was executed and the IAM user who executed it. Which service natively captures this information?",Cloud Monitoring metrics,Cloud Audit Logs (Data Access Logs),VPC Service Controls,Identity-Aware Proxy (IAP),B,"is incorrect because Cloud Monitoring provides quantitative metrics (like CPU usage or bytes scanned), not detailed text logs of executed SQL statements.","is correct because Cloud Audit Logs (specifically Data Access logs for BigQuery) automatically record API calls that read the configuration or metadata of resources, as well as user-driven API calls that create, modify, or read user-provided data. This includes the exact SQL query text and the principal (user/service account) executing it.","is incorrect because VPC Service Controls define security perimeters to mitigate data exfiltration, they do not provide audit logging.","is incorrect because IAP controls access to web applications, not database query auditing.",Data_analysis.docx,Data_analysis
30,"You have configured a scheduled query in BigQuery to aggregate daily sales and insert the results into a summary table. You want to ensure that if the scheduled query fails for any reason, a notification is sent to a Pub/Sub topic so your incident management system can alert the engineering team. How should you configure this?",Write a Cloud Function that constantly polls the INFORMATION_SCHEMA for failures.,Set up a Cloud Monitoring alert policy based on the BigQuery log metric for scheduled query job failures.,Grant the Data Transfer Service the roles/pubsub.publisher role.,Embed a Python try/except block directly into the BigQuery SQL code.,B,"is incorrect because constant polling is an inefficient, costly, and delay-prone anti-pattern compared to native event-driven alerting via Cloud Monitoring.","is correct because Cloud Monitoring integrates seamlessly with Cloud Logging. When a scheduled query (which runs as a Data Transfer Service job under the hood) fails, it writes an error to Cloud Logging. You can create a log-based metric or alert policy in Cloud Monitoring to trigger a notification to a Pub/Sub topic upon detecting this failure.",is incorrect because simply granting a role does not create the alerting logic or the trigger condition required to send the message.,is incorrect because BigQuery Standard SQL does not support Python try/except syntax for error handling within the query logic itself.,Data_analysis.docx,Data_analysis
1,Your organization has a strict regulatory requirement that the raw cryptographic key material used to encrypt highly sensitive data must be generated and maintained entirely outside of Google Cloud. The keys must never be permanently stored on Google's infrastructure. Which encryption strategy must you implement?,Google-Managed Encryption Keys (GMEK),Customer-Managed Encryption Keys (CMEK),Customer-Supplied Encryption Keys (CSEK),Cloud Key Management Service (Cloud KMS) asymmetric keys,C,"is incorrect because GMEK uses keys that are completely generated, stored, and managed by Google.","is incorrect because while CMEK gives you control over key rotation and access policies, the actual cryptographic key material is still generated and stored within Google Cloud KMS.","is correct because Customer-Supplied Encryption Keys (CSEK) allow you to use your own raw encryption keys generated outside of GCP. Google uses these keys to encrypt data in memory and then immediately discards the raw key material, ensuring it is never stored on Google's infrastructure.","is incorrect because simply using asymmetric keys in Cloud KMS still means the keys are stored within the Google Cloud KMS boundary, violating the requirement.",Data_management.docx,Data_management
2,You are uploading a file containing public marketing assets to a new Cloud Storage bucket. You do not specify any encryption configuration during the upload. What is the encryption status of this file once it is stored?,The file is stored in plaintext without any encryption.,The file is automatically encrypted at rest using Google-Managed Encryption Keys (GMEK).,The file is encrypted using a temporary session key that expires after 24 hours.,The upload will fail because you must explicitly select an encryption method.,B,is incorrect because Google Cloud does not allow customer data to be stored persistently in plaintext; encryption at rest is mandatory and automatic.,"is correct because Google Cloud implicitly encrypts all data at rest by default using Google-Managed Encryption Keys (GMEK), requiring zero configuration from the user. There is no additional cost or setup for this foundational security layer.","is incorrect because GMEK uses persistent data encryption keys (DEKs) wrapped by key encryption keys (KEKs), not temporary 24-hour session keys.",is incorrect because the upload will succeed seamlessly; the system automatically falls back to GMEK if no CMEK or CSEK is specified.,Data_management.docx,Data_management
3,"Your enterprise security team wants to grant you the ability to analyze specific data in BigQuery. However, they must adhere to the principle of least privilege. Which IAM role configuration is the minimum required to allow you to run SQL queries and view the results, without allowing you to delete tables or datasets?",roles/bigquery.admin,roles/bigquery.dataOwner,roles/bigquery.dataViewer and roles/bigquery.jobUser,roles/bigquery.user,C,"is incorrect because the Admin role grants full control over all BigQuery resources, violating the principle of least privilege.",is incorrect because the Data Owner role allows the user to delete tables and datasets.,"is correct because roles/bigquery.dataViewer grants the ability to read the data and schema, while roles/bigquery.jobUser provides the ability to execute the actual query job within the project. Together, they perfectly satisfy the principle of least privilege for read-only analysis.","is incorrect because while roles/bigquery.user allows running jobs, it also allows the creation of new datasets, which exceeds the minimum required permissions.",Data_management.docx,Data_management
4,You are a database administrator managing sales transaction data stored in a single BigQuery table. You need to ensure that regional sales managers can only view the transaction rows that correspond to their specific geographic region. What should you configure?,Column-level security using Policy Tags.,A row-level access policy.,Cloud Storage IAM conditions.,Identity-Aware Proxy (IAP).,B,"is incorrect because Policy Tags control access to entire columns (e.g., hiding a ""Social Security Number"" column for everyone), not filtering individual rows based on content.","is correct because a row-level access policy directly filters the data based on user attributes (like their region), ensuring that when a sales manager queries the table, BigQuery dynamically restricts the returned rows to only those they are authorized to see.","is incorrect because Cloud Storage IAM conditions operate on files/buckets, not the internal row data of a BigQuery table.","is incorrect because IAP controls access to web applications and VMs, not row-level database filtering.",Data_management.docx,Data_management
